Date,Open,High,Low,Close,Adj Close,Volume
12-04-2018,1505,1575,1503.974976,1569.625,1408.547119,6114360
13-04-2018,1575,1620.400024,1566.050049,1576.650024,1414.850952,8179118
16-04-2018,1558,1599.974976,1555.375,1593.824951,1430.263306,6270274
17-04-2018,1593.824951,1597.474976,1573.599976,1583.300049,1420.818848,3301724
18-04-2018,1583,1596.724976,1572.925049,1579.550049,1417.453369,2433066
19-04-2018,1589.949951,1608.599976,1582.875,1595.574951,1431.833862,4820952
20-04-2018,1625,1711.175049,1620,1701.224976,1526.641479,18465662
23-04-2018,1712,1778.949951,1694.775024,1704.324951,1529.423828,15185910
24-04-2018,1705,1721.574951,1671.25,1692.824951,1519.103638,8314336
25-04-2018,1692.5,1741.5,1682.525024,1735.125,1557.062988,8196574
26-04-2018,1733.5,1780,1733.5,1769.625,1588.022949,12135034
27-04-2018,1762.5,1772,1710,1725.974976,1548.852051,4501330
30-04-2018,1725.974976,1774.5,1718.800049,1766.050049,1584.814331,3458558
02-05-2018,1765.25,1766.099976,1735.650024,1749.875,1570.299438,3158046
03-05-2018,1754.900024,1763,1735.199951,1740.925049,1562.268066,3761550
04-05-2018,1746,1748.5,1735,1740.375,1561.774414,2347244
07-05-2018,1745,1745,1705.449951,1710.474976,1534.942627,3484426
08-05-2018,1717.349976,1743.25,1698.349976,1720.599976,1544.028198,2992820
09-05-2018,1720.099976,1747.375,1720.099976,1744.650024,1565.610596,2615050
10-05-2018,1751.474976,1755.574951,1720.099976,1725.625,1548.53772,3858678
11-05-2018,1727.099976,1742.5,1721.25,1728.474976,1551.095215,2627876
14-05-2018,1728.5,1735.5,1705.400024,1716.775024,1540.595947,2433894
15-05-2018,1725,1747.900024,1716.849976,1741.199951,1562.514648,1952890
16-05-2018,1739.974976,1754.5,1737.625,1746.949951,1567.674438,1648450
17-05-2018,1756.474976,1766.574951,1738,1745.900024,1566.7323,2968048
18-05-2018,1740.400024,1758.849976,1729,1751.025024,1571.331177,1874996
21-05-2018,1764.349976,1796,1759.025024,1778.375,1595.874756,3446178
22-05-2018,1779,1787.474976,1746.849976,1754.449951,1574.404785,1857416
23-05-2018,1762.5,1772.5,1740.5,1747.550049,1568.213013,1507298
24-05-2018,1755,1807.5,1751.175049,1801.849976,1616.94043,2962316
25-05-2018,1812.5,1837.400024,1786.275024,1792.900024,1608.908936,3769772
28-05-2018,1808.25,1808.25,1743,1751.025024,1571.331177,3716798
29-05-2018,1764.949951,1772,1744,1761.75,1580.955688,3525312
30-05-2018,1754.525024,1766.5,1741.25,1757.050049,1576.738037,3779106
31-05-2018,1734,1759.050049,1726.099976,1741.050049,1575.380493,5049371
01-06-2018,1754,1757.5,1716.300049,1732.449951,1567.598877,1603856
04-06-2018,1745,1749,1712.599976,1744.25,1578.276123,1681483
05-06-2018,1744,1751.900024,1711.150024,1721.599976,1557.781006,2449568
06-06-2018,1723,1734.900024,1715.199951,1725.75,1561.536255,2236512
07-06-2018,1725,1749,1723.800049,1735.550049,1570.404053,2414762
08-06-2018,1735,1757.300049,1735,1747.099976,1580.855103,2582138
11-06-2018,1747.099976,1763,1743,1749.699951,1583.20752,2179378
12-06-2018,1757,1785,1753,1781,1611.529175,4608875
13-06-2018,1816,1831.650024,1798,1824.099976,1650.527954,5370983
14-06-2018,1830,1832.300049,1784,1787.550049,1617.456055,3819998
15-06-2018,1800,1847.099976,1788.599976,1840.050049,1664.960449,9183574
18-06-2018,1867.949951,1867.949951,1822.150024,1829,1654.961914,4674987
19-06-2018,1822.150024,1839,1821,1824.5,1650.889893,3245034
20-06-2018,1832,1836.300049,1818.599976,1822.449951,1649.035034,3107695
21-06-2018,1832,1832,1817.599976,1819.349976,1646.22998,2910659
22-06-2018,1827,1827,1799.550049,1809.800049,1637.588867,2949458
25-06-2018,1811.900024,1822.349976,1806,1819.25,1646.139404,2083217
26-06-2018,1823,1861,1821,1852,1675.773315,4679712
27-06-2018,1860,1885.150024,1851.25,1858,1681.202148,4081208
28-06-2018,1865,1871,1826.300049,1842.699951,1667.358032,4888125
29-06-2018,1844.900024,1867.400024,1842.300049,1847.75,1671.927612,3506276
02-07-2018,1852,1857.800049,1841.099976,1851.349976,1675.185059,2650290
03-07-2018,1859.949951,1879.900024,1857.050049,1874.050049,1695.725098,3242233
04-07-2018,1879.900024,1879.900024,1857.150024,1866.150024,1688.576782,2700614
05-07-2018,1873,1887.5,1862.099976,1880.300049,1701.380493,2472571
06-07-2018,1882.849976,1921,1881.650024,1912.949951,1730.923584,3713781
09-07-2018,1924,1924.400024,1876.5,1883,1703.822998,6151747
10-07-2018,1898,1898.900024,1870.75,1875.099976,1696.674927,5303302
11-07-2018,1900,1998,1894.150024,1979.900024,1791.503052,22903802
12-07-2018,1984,1990.900024,1960.5,1971.349976,1783.766479,6921701
13-07-2018,1975,1997.900024,1974,1981.099976,1792.588745,4148185
16-07-2018,1990,1996,1977.449951,1989.199951,1799.917725,2582159
17-07-2018,1989,2009,1981,2002.150024,1815.286133,3315492
18-07-2018,2005,2011.699951,1993.050049,2000.25,1813.563232,2013869
19-07-2018,2002.099976,2010.449951,1970,1981.400024,1796.472778,1746318
20-07-2018,1984.900024,2000,1984,1996.599976,1810.254028,1934995
23-07-2018,2001,2009.949951,1986,2005.650024,1818.459473,2086201
24-07-2018,2015,2015,1984.150024,1999,1812.430054,2038423
25-07-2018,2001.900024,2002,1968.400024,1981.5,1796.563232,1535492
26-07-2018,1974.949951,1985,1955.099976,1964.699951,1781.331299,3503036
27-07-2018,1960.849976,1964.650024,1940.300049,1943.75,1762.336548,2033977
30-07-2018,1943,1954.699951,1931.550049,1944.599976,1763.107178,1579251
31-07-2018,1942,1947,1928,1940.199951,1759.117798,2204803
